area_name_en,mean,count,std,ci95_hi,ci95_lo
Um Hurair First,19068.69,53,17792.51,23858.91,14278.47
Al Qusais Industrial Second,7045.17,50,8221.2,9323.97,4766.37
Muhaisanah Second,5384.1,49,4601.53,6672.53,4095.67
Lehbab,104.41,48,80.73,127.25,81.57
Al-Murar Qadeem,15125.4,47,8578.43,17577.94,12672.87
Al Goze Industrial Fourth,5473.85,42,4856.64,6942.67,4005.03
Mena Jabal Ali,52.44,41,215.06,118.27,-13.39
Al Lusaily,888.77,40,1331.06,1301.27,476.28
Al Qoaz,824.86,39,775.52,1068.26,581.46
Ras Al Khor,10479.88,37,17136.45,16001.62,4958.13
Al-Tawar,1141.92,35,1268.78,1562.27,721.57
Al Musalla (Dubai),5815.03,35,3665.09,7029.27,4600.78
Al Rowaiyah First,5068.89,34,5585.57,6946.41,3191.37
Margham,99.33,31,114.55,139.66,59.01
Al Eyas,518.62,31,666.61,753.28,283.95
Al Qusais Industrial Third,11635.39,30,10327.36,15330.99,7939.79
Al Safaa,1014.22,30,434.32,1169.64,858.81
Al-Aweer,122.85,29,169.05,184.38,61.32
Tawaa Al Sayegh,11086.45,28,6225.37,13392.36,8780.54
Burj Nahar,6262.6,28,5264.98,8212.77,4312.42
Al-Safiyyah,5214.87,24,1042.08,5631.79,4797.95
Dubai International Airport,18276.1,22,13015.8,23715.06,12837.14
Lehbab First,238.85,21,204.79,326.45,151.26
Al-Riqqa East,13933.28,20,8983.06,17870.28,9996.28
Al-Murar Jadeed,10517.78,18,5470.66,13045.09,7990.46
Saih Aldahal,602.55,18,1843.97,1454.43,-249.32
Tawi Al Muraqqab,105.97,18,222.81,208.91,3.04
Zareeba Duviya,11539.66,17,7596.98,15151.03,7928.28
Lehbab Second,372.63,17,484.8,603.09,142.17
MADINAT HIND 1,2598.64,15,3802.11,4522.77,674.5
Al-Nakhal,9966.75,14,7106.46,13689.34,6244.16
Al-Raulah,7070.77,14,5994.37,10210.81,3930.72
Grayteesah,59.82,13,51.41,87.76,31.87
Al Asbaq,7917.36,13,5708.58,11020.58,4814.14
Muhaisna,554.46,12,300.99,724.77,384.16
Palm Jabal Ali,22428.29,12,20374.83,33956.44,10900.15
Al-Riqqa West,105582.81,11,282141.36,272317.7,-61152.08
Al-Souq Al Kabeer (Deira),38994.14,9,28777.65,57795.54,20192.75
Al Warsan Third,5998.77,9,8639.15,11643.01,354.52
Muragab,105.51,8,66.77,151.78,59.24
Al-Muhaisnah North,262.88,8,71.61,312.51,213.25
Al-Bastakiyah,5059.72,7,3399.03,7577.76,2541.68
Al-Shumaal,10230.96,7,9374.74,17175.87,3286.05
Al-Zarouniyyah,10400.21,7,3951.95,13327.85,7472.56
Naif South,19843.31,7,12942.99,29431.61,10255.01
Sikkat Al Khail North,34377.88,6,17883.29,48687.49,20068.27
Naif North,12784.14,6,9039.21,20017.01,5551.26
Nazwah,130.55,5,81.71,202.17,58.93
Sikkat Al Khail South,30802.12,4,20720.32,51108.03,10496.2
Al Rowaiyah Third,417.16,4,299.7,710.86,123.45
Umm Addamin,337.2,3,99.8,450.14,224.26
Um Esalay,212.2,3,0.0,212.2,212.2
Al Maha,79.65,3,70.56,159.49,-0.19
Al-Mustashfa West,20549.11,2,9654.55,33929.63,7168.6
Bur Dubai,49438.46,2,16432.99,72213.42,26663.5
Al Baharna,7057.09,2,4838.32,13762.66,351.52
Hatta,1191.18,2,202.89,1472.38,909.99
Jabal Ali Third,1.0,2,0.0,1.0,1.0
MADINAT HIND 2,694.7,2,644.72,1588.24,-198.83
Festival City First,645.83,1,,,
Al Yelayiss 3,7248.32,1,,,
Al Layan1,205.08,1,,,
Al Marmoom,8.96,1,,,
Al-Baloosh,2337.86,1,,,
Al Khairan  Second,27615.38,1,,,
Al Fahidi,9311.42,1,,,
Al Yelayiss 5,963.66,1,,,
Muashrah Al Bahraana,4136.45,1,,,
Mugatrah,197.3,1,,,
Al-Cornich,100.0,1,,,
Al-Dzahiyyah Al-Jadeedah,2242.48,1,,,
Esalal,896.99,1,,,
Al-Nahdah,6458.35,1,,,
Me'Aisem Second,504.26,1,,,
Le Hemaira,323.09,1,,,
Remah,53.82,1,,,
Shandagha West,21527.84,1,,,
Shandagha East,26911.81,1,,,
Al-Qiyadah,2690.98,1,,,
