building_name_en,mean,count,std,ci95_hi,ci95_lo
NEWBRIDGE HILL 3,8334.56,410,1061.8,8437.34,8231.78
FIVE at Jumeirah Village Circle Dubai,11727.69,409,4097.03,12124.75,11330.62
Binghatti Corner,9222.4,409,1125.15,9331.44,9113.35
South Ridge 5,14379.8,408,6216.65,14983.03,13776.57
SOBHA SAPPHIRE,10639.3,407,4884.44,11113.84,10164.76
DAMAC HILLS - GOLF VITA - A,13774.89,407,1933.05,13962.69,13587.09
Jumeirah Living Marina Gate,22973.03,407,4431.69,23403.58,22542.47
CELESTIA A,12849.52,407,3814.57,13220.12,12478.92
Binghatti Stars,6891.85,406,1441.63,7032.09,6751.62
Sadaf 8,8967.69,405,4034.74,9360.64,8574.73
SOBHA DAFFODIL,8421.84,405,1920.7,8608.9,8234.78
TERHAB HOTEL & TOWERS - TOWER 3,17547.28,405,1545.35,17697.79,17396.77
SCHON BUSINESS PARK,8249.22,404,4067.2,8645.83,7852.61
RED RESIDENCE,8740.79,404,2651.87,8999.39,8482.2
BD Standpoint B,22510.35,403,7408.04,23233.63,21787.07
DAMAC HILLS - CARSON (B),12324.59,402,2585.44,12577.33,12071.84
The Matrix,14841.74,398,5898.68,15421.26,14262.22
Harbour Views T2,15476.2,398,4100.96,15879.1,15073.3
THE RESIDENCES II - TOWER 1,16565.31,397,6042.98,17159.75,15970.86
DAMAC HILLS - CARSON (C),13316.94,397,2647.48,13577.37,13056.51
The Opus By Omniyat,23441.9,397,9374.56,24364.08,22519.73
The First Central,29093.65,397,10192.81,30096.31,28090.99
EXECUTIVE RESIDENCES 2,17305.35,397,2650.77,17566.11,17044.6
GOLF TOWERS T1,11715.98,396,3666.0,12077.05,11354.9
Residences_W3,16068.74,396,9654.25,17019.62,15117.86
LOFTS,13397.93,396,4726.08,13863.41,12932.44
O2 Residences,9708.38,394,2436.79,9949.0,9467.76
ATTESSA X2,13374.44,394,4452.46,13814.09,12934.79
Opal Tower,13395.08,393,4593.78,13849.26,12940.9
 LOFTS T EAST,16409.95,393,5249.73,16928.99,15890.92
GLOBAL GOLF RESIDENCE 2,7772.95,392,2614.95,8031.82,7514.09
South Ridge 2,13208.31,391,5137.51,13717.55,12699.08
Burj Views Tower C,70112.79,391,1102364.68,179380.79,-39155.2
WEST HEIGHTS 2,11363.58,390,2901.54,11651.56,11075.61
LE GRAND CHATEAU ,7595.99,389,2249.32,7819.52,7372.47
DEC TOWERS T1,9065.25,389,2269.75,9290.81,8839.69
MARINA TERRACE,10911.32,388,4516.03,11360.68,10461.96
VIDA Residences Dubai Marina,20869.5,388,6317.81,21498.15,20240.85
AG TOWER,14444.75,387,2992.84,14742.93,14146.56
MARINA 101,12419.94,386,2947.15,12713.96,12125.93
DIAMOND VIEWS 4,7663.89,384,2238.28,7887.76,7440.01
CLAREN TOWER 2,19582.08,384,6803.46,20262.57,18901.59
J & G  BUILDING 1,6903.75,383,3778.17,7282.14,6525.37
Harbour Views T1,16308.34,382,4088.22,16718.31,15898.36
Act One Act Two Tower 1,25327.4,381,2748.42,25603.38,25051.42
Grosvenor Business Tower,11466.51,381,4627.71,11931.2,11001.83
WESTBURRY TOWER 1,10336.03,380,2688.97,10606.4,10065.67
IT PLAZA,6693.79,379,2838.81,6979.59,6407.98
AZIZI STAR,12556.72,378,2676.79,12826.57,12286.87
Marina Apartments 6,13218.09,378,3881.37,13609.37,12826.8
THE PAD,20462.83,378,9480.73,21418.59,19507.06
CELESTIA B,10689.83,378,4252.6,11118.54,10261.11
BAYZ TOWER,16456.94,377,2467.72,16706.04,16207.84
Burj Crown,21261.96,377,2660.41,21530.51,20993.4
Marina Vista Tower 2,25756.77,377,4891.45,26250.54,25263.0
Azizi Aura Residences,12901.64,376,2302.3,13134.35,12668.92
Burj ViewsTower A,13198.87,376,4404.62,13644.09,12753.66
ELITE 10 SPORTS RESIDENCE - 2,10113.86,376,1943.95,10310.35,9917.36
AYKON CITY 3 - TOWER D,25768.93,375,2443.39,26016.23,25521.62
The One at Jumeirah Village Triangle,35196.58,375,5806.64,35784.29,34608.87
Downtown Views II T3,20339.04,372,2612.02,20604.48,20073.61
TFG ONE HOTEL,44083.57,371,9836.13,45084.47,43082.66
Imperial Avenue,15043.95,371,8241.23,15882.56,14205.34
Horizon Tower,8916.65,371,4010.35,9324.73,8508.56
J & G  BUILDING 3,6492.87,369,2612.93,6759.48,6226.27
The Fairways North Tower,12211.15,369,4992.83,12720.59,11701.71
ROYALE RESIDENCE 1,8551.65,368,3557.29,8915.1,8188.19
ROVE HOTEL,31690.3,367,1880.82,31882.73,31497.87
Burj Views Tower B,13839.19,367,5245.05,14375.82,13302.57
SHEMARA W2,14189.75,365,4678.94,14669.77,13709.73
Sobha Hartland - The Crest Tower B,20769.65,364,570.03,20828.21,20711.09
The Dome,8014.68,363,1970.08,8217.35,7812.01
TOWER 108,12003.77,363,3606.39,12374.77,11632.77
Azizi Aliyah Residences,12584.59,363,3516.31,12946.32,12222.85
ELITE 10 SPORTS RESIDENCE - 1,10343.86,362,2429.28,10594.11,10093.61
MEDITERRANEAN,8692.45,362,2544.03,8954.52,8430.37
The Address Residences Dubai Opera T2,31419.11,361,4414.32,31874.48,30963.73
Prime Residence 2,7663.14,361,1919.44,7861.15,7465.14
IMPERIAL RESIDENCE 1,10342.5,361,2248.38,10574.44,10110.57
Grand Bleu Tower interiors by Elie Saab Tower 1,27587.19,361,6263.84,28233.35,26941.02
Marina Apartments 1,12873.76,360,3739.89,13260.09,12487.42
MARINA SAIL,8806.82,359,3370.26,9155.45,8458.18
AL GHOZLAN 4,10958.2,358,3388.84,11309.25,10607.16
FORTUNE TOWER,7160.73,358,6382.37,7821.87,6499.58
AL JAWHARA TOWER,10746.0,358,2644.01,11019.89,10472.1
BLOOM HEIGHTS A,10198.28,357,1460.82,10349.81,10046.74
Emirates Gardens 1 - R2,6982.21,357,1395.25,7126.95,6837.48
52|42 Tower 1,20719.05,355,4021.72,21137.41,20300.68
Jewelz Residence,11997.36,355,936.86,12094.82,11899.9
Peninsula Two,19629.43,355,1512.05,19786.73,19472.14
AL Alka-3,12290.76,355,3524.78,12657.43,11924.09
LOFTS T WEST,16512.17,355,5420.28,17076.02,15948.32
J & G  BUILDING 2,6162.76,354,2570.93,6430.58,5894.94
YACHT BAY,10087.58,353,2925.17,10392.73,9782.42
Shams 1,20702.67,352,144753.57,35824.84,5580.5
ALMASS,11848.71,352,5425.8,12415.54,11281.89
Marina Apartments 5,13186.57,352,4119.08,13616.88,12756.26
Vida Residences 1 & 2 - The Hills,14025.12,351,2920.68,14330.68,13719.57
XL Tower,12869.59,351,5381.79,13432.61,12306.56
